net,length_um
_0823_,14.54µm
_0782_,14.52µm
_0771_,14.48µm
_1121_,14.48µm
_1444_,14.48µm
_1318_,14.47µm
_0277_,14.42µm
_0438_,14.42µm
_0550_,14.42µm
_0664_,14.42µm
_1045_,14.42µm
_1294_,14.42µm
_0154_,14.4µm
_0215_,14.4µm
_0376_,14.4µm
_1124_,14.38µm
X_crt\[7\],14.34µm
_0109_,14.34µm
_0653_,14.34µm
_1028_,14.34µm
_1138_,14.34µm
net40,14.34µm
_0690_,14.32µm
_1082_,14.32µm
_0572_,14.295µm
_0969_,14.26µm
_0516_,14.24µm
_0751_,14.22µm
_0875_,14.18µm
_1264_,14.18µm
_1564_,14.16µm
_0512_,14.14µm
_1349_,14.14µm
_1319_,14.12µm
_1085_,14.1µm
_1293_,14.1µm
_0662_,14.06µm
_1273_,14.02µm
_0856_,13.98µm
_1287_,13.98µm
_0172_,13.96µm
_1451_,13.96µm
_1478_,13.96µm
net82,13.96µm
_1549_,13.95µm
_0164_,13.94µm
_1243_,13.92µm
_1335_,13.92µm
_1575_,13.92µm
_1101_,13.88µm
net42,13.88µm
_0228_,13.86µm
_1098_,13.86µm
_1591_,13.86µm
_0587_,13.8µm
_0235_,13.76µm
_0747_,13.76µm
_0893_,13.76µm
_1214_,13.76µm
_0126_,13.72µm
_1247_,13.68µm
_0236_,13.64µm
_1188_,13.64µm
net43,13.64µm
net174,13.62µm
_1310_,13.6µm
_0938_,13.58µm
_1025_,13.58µm
_0535_,13.56µm
_0617_,13.56µm
_0200_,13.54µm
_0829_,13.52µm
_0539_,13.5µm
_1038_,13.5µm
_0392_,13.48µm
_1276_,13.465µm
_0627_,13.445µm
_1470_,13.42µm
_1562_,13.42µm
_0649_,13.4µm
_0738_,13.4µm
_0425_,13.38µm
_0788_,13.38µm
_1008_,13.36µm
_1172_,13.32µm
_0568_,13.3µm
_0678_,13.3µm
_0159_,13.26µm
_0638_,13.26µm
_0695_,13.26µm
_1103_,13.26µm
_1146_,13.24µm
_0489_,13.22µm
_0635_,13.22µm
_1350_,13.205µm
_0810_,13.2µm
_0534_,13.18µm
_0167_,13.16µm
