net,length_um
_0400_,8.84µm
_0271_,8.82µm
_0797_,8.82µm
_1151_,8.82µm
_0691_,8.8µm
_0591_,8.79µm
_0641_,8.78µm
_1034_,8.78µm
_1281_,8.78µm
_1441_,8.78µm
_1542_,8.78µm
net105,8.78µm
Start,8.72µm
_1351_,8.72µm
_1438_,8.68µm
_1560_,8.68µm
X_crt\[11\],8.66µm
_1528_,8.66µm
net72,8.66µm
_0099_,8.64µm
_0475_,8.62µm
A_in[3],8.61µm
A_in[4],8.61µm
X_crt\[1\],8.6µm
_0202_,8.58µm
_0335_,8.58µm
_0337_,8.58µm
_0787_,8.58µm
_1457_,8.58µm
_0100_,8.565µm
_0382_,8.56µm
_0869_,8.56µm
_1248_,8.56µm
net334,8.56µm
_0983_,8.52µm
_0361_,8.5µm
_0241_,8.48µm
_0356_,8.48µm
_0720_,8.48µm
_1434_,8.46µm
_1502_,8.46µm
_0201_,8.44µm
_0509_,8.44µm
_0682_,8.44µm
_1000_,8.44µm
_1455_,8.44µm
_0700_,8.4µm
_0769_,8.4µm
_0940_,8.4µm
net93,8.4µm
_0646_,8.36µm
_0319_,8.34µm
_1099_,8.34µm
