Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-05-48/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
     1110 |       0 |     434 |      284 |      1 |   167 |   -9.233 |     -203.7 |     39 | _3238_/D
     1115 |       0 |     413 |      274 |      1 |   166 |   -9.218 |     -206.0 |     39 | _3238_/D
     1120 |       0 |     415 |      280 |      1 |   166 |   -9.218 |     -205.6 |     39 | _3238_/D
     1130 |       0 |     419 |      286 |      1 |   170 |   -9.218 |     -204.4 |     39 | _3238_/D
     1140 |       0 |     424 |      292 |      1 |   172 |   -9.218 |     -203.7 |     39 | _3238_/D
     1150 |       0 |     431 |      294 |      1 |   174 |   -9.218 |     -202.8 |     39 | _3238_/D
     1160 |       0 |     436 |      298 |      1 |   177 |   -9.218 |     -202.5 |     39 | _3238_/D
     1170 |       0 |     442 |      303 |      1 |   179 |   -9.218 |     -202.5 |     39 | _3238_/D
     1180 |       0 |     449 |      303 |      1 |   182 |   -9.218 |     -202.2 |     39 | _3238_/D
     1190 |       0 |     454 |      306 |      1 |   186 |   -9.218 |     -202.1 |     39 | _3238_/D
     1192 |       0 |     454 |      306 |      1 |   183 |   -9.218 |     -201.8 |     39 | _3238_/D
     1198 |       0 |     456 |      306 |      1 |   184 |   -9.218 |     -201.8 |     39 | _3238_/D
     1200 |       0 |     457 |      306 |      1 |   184 |   -9.218 |     -201.8 |     39 | _3238_/D
     1202 |       0 |     456 |      306 |      1 |   184 |   -9.218 |     -201.8 |     39 | _3238_/D
     1205 |       0 |     457 |      306 |      1 |   185 |   -9.218 |     -201.8 |     39 | _3238_/D
     1210 |       0 |     461 |      306 |      1 |   185 |   -9.218 |     -201.2 |     39 | _3238_/D
     1220 |       0 |     471 |      306 |      1 |   185 |   -9.218 |     -200.1 |     39 | _3238_/D
     1230 |       0 |     479 |      308 |      1 |   186 |   -9.218 |     -199.6 |     39 | _3238_/D
     1240 |       0 |     485 |      312 |      1 |   188 |   -9.218 |     -199.3 |     39 | _3238_/D
     1250 |       0 |     490 |      314 |      1 |   192 |   -9.218 |     -199.2 |     39 | _3238_/D
     1260 |       0 |     495 |      314 |      1 |   197 |   -9.218 |     -198.6 |     39 | _3238_/D
     1270 |       0 |     501 |      318 |      1 |   199 |   -9.218 |     -198.7 |     39 | _3238_/D
     1272 |       0 |     502 |      318 |      1 |   200 |   -9.218 |     -198.6 |     39 | _3238_/D
     1276 |       0 |     504 |      318 |      1 |   201 |   -9.218 |     -198.4 |     39 | _3238_/D
     1280 |       0 |     507 |      318 |      1 |   201 |   -9.218 |     -197.9 |     39 | _3238_/D
     1290 |       0 |     516 |      318 |      1 |   202 |   -9.218 |     -196.6 |     39 | _3238_/D
     1300 |       0 |     526 |      318 |      1 |   202 |   -9.218 |     -196.3 |     39 | _3238_/D
     1310 |       0 |     533 |      320 |      1 |   204 |   -9.240 |     -196.0 |     39 | _3238_/D
     1320 |       0 |     542 |      320 |      1 |   205 |   -9.240 |     -195.2 |     39 | _3238_/D
     1330 |       0 |     544 |      322 |      1 |   212 |   -9.240 |     -195.3 |     39 | _3238_/D
     1330 |       0 |     532 |      320 |      1 |   202 |   -9.218 |     -196.0 |     39 | _3238_/D
     1340 |       0 |     540 |      322 |      1 |   202 |   -9.240 |     -195.5 |     39 | _3238_/D
     1350 |       0 |     549 |      322 |      1 |   203 |   -9.240 |     -195.2 |     39 | _3238_/D
     1351 |       0 |     536 |      321 |      1 |   202 |   -9.218 |     -196.0 |     38 | _3238_/D
    1354* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1355* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1356* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1357* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1358* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1359* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1360* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1360* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1361* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1362* |       0 |     538 |      321 |      1 |   202 |   -9.041 |     -195.8 |     39 | _3238_/D
    1364* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1365* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1366* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1367* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1368* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1369* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1370* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
    1370* |       0 |     539 |      321 |      1 |   202 |   -9.041 |     -195.7 |     39 | _3238_/D
