Reading timing models for corner nom_tt_025C_1v80…
Reading timing library for the 'nom_tt_025C_1v80' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__tt_025C_1v80.lib'…
Reading timing models for corner nom_ff_n40C_1v95…
Reading timing library for the 'nom_ff_n40C_1v95' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ff_n40C_1v95.lib'…
Reading timing models for corner nom_ss_100C_1v60…
Reading timing library for the 'nom_ss_100C_1v60' corner at '/pdk/volare/sky130/versions/0fe599b2afb6708d281543108caf8310912f54af/sky130A/libs.ref/sky130_fd_sc_hd/lib/sky130_fd_sc_hd__ss_100C_1v60.lib'…
Reading OpenROAD database at '/work/runs/RUN_2026-03-17_14-13-35/30-openroad-cts/rns_top_crt.odb'…
Reading design constraints file at 'designs/_shared/ll_policy/constraints.sdc'…
[INFO] No information on clock propagation in input SDC file-- propagating all clocks.
[INFO] Setting RC values…
[INFO RSZ-0094] Found 39 endpoints with setup violations.
[INFO RSZ-0099] Repairing 39 out of 39 (100.00%) violating endpoints...
   Iter   | Removed | Resized | Inserted | Cloned |  Pin  |    WNS   |   TNS      |  Viol  | Worst
          | Buffers |  Gates  | Buffers  |  Gates | Swaps |          |            | Endpts | Endpt
---------------------------------------------------------------------------------------------------
     1130 |       0 |     357 |      333 |      0 |   149 |   -9.377 |     -211.7 |     39 | _3238_/D
     1140 |       0 |     362 |      335 |      0 |   153 |   -9.377 |     -211.9 |     39 | _3238_/D
     1150 |       0 |     370 |      337 |      0 |   154 |   -9.377 |     -211.5 |     39 | _3238_/D
     1160 |       0 |     373 |      353 |      0 |   156 |   -9.377 |     -211.3 |     39 | _3238_/D
     1167 |       0 |     355 |      337 |      0 |   143 |   -9.377 |     -210.8 |     39 | _3238_/D
     1170 |       0 |     356 |      340 |      0 |   143 |   -9.377 |     -211.7 |     39 | _3238_/D
     1180 |       0 |     364 |      344 |      0 |   143 |   -9.377 |     -211.7 |     39 | _3238_/D
     1190 |       0 |     371 |      355 |      0 |   143 |   -9.377 |     -211.3 |     39 | _3238_/D
     1200 |       0 |     376 |      360 |      0 |   146 |   -9.377 |     -211.3 |     39 | _3238_/D
     1210 |       0 |     379 |      362 |      0 |   152 |   -9.377 |     -211.5 |     39 | _3238_/D
     1211 |       0 |     357 |      346 |      0 |   143 |   -9.377 |     -210.8 |     39 | _3238_/D
     1220 |       0 |     362 |      353 |      0 |   143 |   -9.377 |     -211.6 |     39 | _3238_/D
     1230 |       0 |     371 |      353 |      0 |   144 |   -9.377 |     -211.5 |     39 | _3238_/D
     1240 |       0 |     378 |      364 |      0 |   144 |   -9.377 |     -211.1 |     39 | _3238_/D
     1250 |       0 |     383 |      372 |      0 |   145 |   -9.377 |     -211.5 |     39 | _3238_/D
     1259 |       0 |     364 |      355 |      0 |   143 |   -9.377 |     -210.8 |     39 | _3238_/D
     1260 |       0 |     364 |      355 |      0 |   143 |   -9.377 |     -210.8 |     39 | _3238_/D
     1270 |       0 |     372 |      357 |      0 |   144 |   -9.377 |     -209.8 |     39 | _3238_/D
     1280 |       0 |     382 |      357 |      0 |   144 |   -9.377 |     -209.0 |     39 | _3238_/D
     1290 |       0 |     388 |      361 |      0 |   146 |   -9.377 |     -208.5 |     39 | _3238_/D
